time,ax,ay,az,barometer_altitude,velo
2119.62,-84.0,-5.06,-0.16,5.37,10.17
2120.53,-75.99,-3.26,0.39,69.02,75.72
2121.44,-67.91,0.75,-0.06,184.51,172.21
2122.32,-57.72,-0.62,-0.93,356.52,304.85
2123.26,-6.53,0.15,-0.87,549.88,373.59
2124.13,17.77,0.41,-1.54,746.39,469.35
2125.04,16.57,0.65,-0.72,963.3,508.71
2125.95,15.73,1.36,-1.21,1155.53,515.8
2126.82,13.89,1.41,-0.65,1325.94,518.98
2127.73,13.69,1.1,-0.69,1495.28,483.6
2128.6,13.78,1.38,0.09,1671.81,505.58
2129.51,13.19,1.41,-0.34,1821.16,454.31
2130.43,12.59,1.12,-0.09,1961.87,427.5
2131.3,12.15,0.81,0.12,2089.34,413.39
2132.21,11.71,1.22,-0.18,2208.37,368.76
2133.12,11.44,1.15,-0.19,2318.07,342.56
2134.02,11.1,1.11,-0.26,2416.35,313.42
2134.9,11.92,1.01,-0.05,2508.21,300.69
2135.81,11.7,0.94,0.08,2589.4,262.78
2136.72,11.49,0.95,-0.13,2662.97,238.34
2137.59,11.36,0.94,0.14,2726.52,221.86
2138.5,11.21,0.97,0.06,2783.01,189.78
2139.41,10.05,0.93,0.01,2830.36,166.09
2140.28,11.97,0.92,0.06,2869.31,148.37
2141.19,9.85,1.02,0.12,2899.78,118.89
2142.1,9.82,1.04,0.16,2922.94,96.89
2142.97,9.78,1.13,0.18,2938.17,78.16
2143.88,9.75,1.29,0.33,2945.77,53.36
2144.75,9.67,1.52,0.7,2945.91,33.49
2145.66,9.66,1.51,0.79,2939.65,12.39
2146.57,9.73,1.34,-0.96,2920.29,-13.86
2147.48,10.56,1.79,-1.54,2900.2,-30.45
2148.39,12.63,1.87,-4.52,2867.28,-54.35
2149.3,-16.01,1.52,15.82,2834.07,-69.14
2150.25,0.6,1.71,-2.73,2805.69,-69.61
2151.12,1.95,0.69,-10.09,2788.3,-65.52
2152.07,5.78,0.06,-7.05,2773.4,-51.89
2152.98,5.53,0.92,-9.27,2760.61,-46.4
2153.85,5.78,-3.79,-13.48,2740.85,-51.99
2154.79,10.24,-5.24,-12.48,2730.2,-39.79
2155.7,9.31,-7.97,-7.65,2714.08,-42.64
2156.65,4.56,-8.41,-5.68,2691.9,-47.98
2157.56,2.43,-5.86,-8.41,2670.68,-53.45
2158.47,6.44,-6.52,-14.36,2656.09,-48.04
2159.42,7.39,-3.34,-9.79,2643.84,-40.48
2160.33,5.25,-1.8,-8.34,2619.62,-52.03
2161.23,7.04,-3.49,-8.77,2603.08,-49.47
2162.18,5.56,-2.47,-8.19,2585.09,-47.41
2163.09,3.7,-1.52,-7.75,2564.57,-52.35
2164.03,1.94,-2.9,-9.49,2546.75,-49.01
2164.94,9.11,1.34,-13.04,2532.86,-45.89
2165.85,7.41,1.23,-9.32,2514.52,-47.74
2166.76,5.11,-0.39,-11.05,2496.65,-48.22
2167.67,7.96,0.4,-12.24,2483.86,-43.04
2168.61,5.49,-0.54,-8.6,2463.81,-46.05
2169.52,0.8,-2.38,-4.65,2442.77,-51.93
2170.47,0.86,2.29,-7.84,2424.01,-49.68
2171.34,5.35,-0.62,-10.62,2406.56,-52.33
2172.29,7.23,-0.18,-14.98,2392.88,-43.43
2173.2,8.59,3.46,-10.53,2378.46,-43.08
2174.14,6.69,1.56,-10.12,2358.89,-45.43
2175.05,9.11,0.2,-13.23,2348.19,-40.11
2176.0,1.67,-4.11,-3.86,2322.85,-50.0
2176.91,3.89,6.03,-5.74,2305.12,-50.68
2177.81,1.66,1.73,-6.54,2288.77,-48.45
2178.69,1.3,0.53,-8.67,2271.75,-49.79
2179.59,7.11,-0.4,-14.64,2257.84,-43.96
2180.54,7.83,1.38,-9.9,2243.17,-40.81
2181.41,5.4,-0.16,-7.07,2221.59,-51.34
2182.36,2.54,0.01,-7.8,2204.36,-46.41
2183.24,6.6,0.02,-13.18,2191.93,-44.6
2184.15,11.25,-0.64,-11.52,2180.61,-38.08
2185.05,8.83,-2.32,-9.42,2159.97,-45.58
2185.96,7.37,-4.83,-13.8,2143.51,-45.5
2186.91,8.86,-2.72,-10.07,2131.0,-39.47
2187.82,8.12,-3.49,-7.55,2112.11,-45.4
2188.73,8.33,-7.96,-10.54,2098.1,-42.7
2189.63,13.23,0.47,-10.29,2085.55,-39.4
2190.54,9.04,1.0,-13.6,2067.37,-43.63
2191.45,11.08,-1.49,-10.78,2053.7,-41.26
2192.36,9.04,1.29,-10.84,2035.37,-44.85
2193.27,7.86,-3.86,-12.46,2019.94,-43.96
2194.18,7.28,-1.04,-9.64,2004.47,-43.42
2195.08,4.13,2.73,-8.94,1983.35,-49.31
2195.99,11.88,-1.55,-10.47,1972.39,-41.66
2196.9,6.59,3.57,-11.21,1954.51,-44.68
2197.81,6.01,0.05,-15.04,1940.15,-42.53
2198.72,11.61,0.4,-9.48,1927.13,-39.87
2199.59,8.29,-2.64,-13.12,1907.73,-47.4
2200.53,11.92,0.79,-9.81,1896.12,-38.53
2201.44,4.73,-1.02,-8.15,1874.97,-47.33
2202.3,0.37,-3.68,-5.78,1855.99,-51.77
2203.21,6.14,-2.71,-14.79,1842.09,-45.02
2204.15,7.99,0.59,-10.76,1830.18,-38.51
2205.02,4.39,1.02,-7.7,1807.58,-51.29
2205.92,3.9,2.13,-12.38,1794.19,-44.14
2206.83,7.51,6.0,-9.8,1780.81,-41.33
2207.7,5.71,0.37,-6.36,1759.63,-50.31
2208.6,5.82,6.32,-13.95,1747.13,-42.55
2209.51,5.46,-2.24,-11.53,1732.37,-41.77
2210.42,3.8,-3.99,-10.85,1712.17,-47.23
2211.37,8.61,2.02,-11.98,1702.61,-37.48
2212.23,5.75,-1.0,-11.91,1683.59,-46.34
2213.18,11.48,0.24,-13.98,1671.11,-38.83
2214.08,9.25,-1.22,-13.93,1652.5,-44.79
2215.03,13.57,3.14,-12.94,1639.65,-39.36
2215.93,11.08,-2.11,-14.07,1620.7,-45.66
2216.87,12.09,0.56,-13.92,1607.74,-40.09
2217.78,9.35,0.5,-12.8,1587.7,-46.99
2218.69,10.38,2.06,-13.53,1575.7,-41.36
2219.6,11.94,1.04,-14.19,1557.83,-44.53
2220.54,11.41,2.84,-11.3,1543.99,-40.36
2221.45,9.62,-1.47,-10.3,1524.07,-47.27
2222.35,11.17,-2.53,-11.94,1508.03,-46.03
2223.3,7.62,-0.55,-13.3,1490.14,-45.36
2224.24,9.12,1.28,-10.54,1474.28,-44.08
2225.11,0.43,2.99,-4.71,1453.48,-52.72
2226.02,2.18,0.18,-11.18,1439.84,-45.41
2226.93,6.07,4.38,-9.66,1424.49,-43.96
2227.79,4.85,-1.78,-11.69,1409.06,-45.54
2228.74,3.44,1.19,-10.16,1392.37,-42.75
2229.61,2.78,-1.2,-4.16,1375.39,-47.35
